9023;14;71415;24;451;35;6716
234;115;73593;456;874;43;1684
78;302;50675;23;10;65;1037
24;220;96213;256;321;94;3200
05;111;15087;149;123;95;4404
499;140;4756;499;150;85;7951
499;43;75321;18;321;4;5242
23;10;15035;90;4;44;1393
32;489;68593;78;7;53;4376
23;90;85085;234;116;28;578
05;190;61584;180;291;7;8684
02;67;13517;499;493;77;6785
23;45;77460;234;176;0;1236
134;466;77277;234;176;13;7565
499;23;74588;499;130;8;5707
499;178;90424;24;756;62;717
23;20;30308;05;47;47;7490
134;963;88455;78;32;6;7686
90;11;3517;456;95;79;2538
24;451;10350;120;781;73;6569
456;874;14620;90;99;54;7709
23;10;85;05;579;41;9743
256;321;97825;134;470;12;4289
149;123;31932;18;42;89;7274
499;150;42578;149;95;76;3641
18;321;92163;120;472;3;2116
90;4;55204;280;921;96;7440
78;7;97859;90;124;50;7533
234;116;62954;120;111;1;1627
180;291;18694;149;9;91;5174s
499;493;86769;90;134;24;5088
234;176;73342;78;40;81;3872
234;176;8465;05;888;29;6266
499;130;41157;24;852;19;7968
24;756;42104;05;258;21;2455
05;47;94464;32;159;93;5006
78;32;17694;05;119;27;8700
456;95;32471;24;456;90;510
120;781;34649;9023;14;98;5370
90;99;41059;234;115;69;1982
05;579;85439;78;302;70;3126
134;470;14770;24;220;67;4296
18;42;41194;05;111;32;9196
149;95;17270;499;140;71;6644
120;472;67430;499;43;72;5717
280;921;68853;23;10;55;9633
90;124;70897;32;489;23;2076
120;111;57822;23;90;75;157
149;9;73636;05;190;66;140
90;134;17442;02;67;9;8936
78;40;94019;23;45;45;3856
05;888;37439;134;466;49;7480
24;852;15063;499;23;39;9364
05;258;53731;499;178;48;1854
32;159;75182;23;20;2;7442
05;119;66612;134;963;33;3068
24;456;89025;90;11;61;2951
78;40;29157;24;451;25;7727
24;963;22915;456;874;42;4666
256;999;47406;23;10;46;7139
23;100;86539;256;321;34;2316
256;753;15226;149;123;84;1298
280:357;32487;499;150;88;2509
90;59;62600;18;321;60;7597
05;65;72741;90;4;31;515
24;198;677;78;7;58;2977
05;133;68536;234;116;17;321
120;632;3536;180;291;14;8759
120;459;51965;499;493;80;7815
256;999;16890;234;176;36;4350
02;198;7892;234;176;59;2432
18;413;57586;499;130;18;618
90;78;75035;24;756;83;5041
32;13;72000;05;47;40;1068
256;60;45278;78;32;63;6142
234;89;41289;456;95;22;5906
120;596;15657;05;795;68;8066
78;16;86896;05;122;92;7898
78;17;6310;05;47;52;2906
